
--- CSV DUMP START ---
time_s,dt_s,ax_g,ay_g,az_g,roll_acc_deg
4.444000,0.008000,-0.083618,0.010132,0.999512,-0.578753
4.453000,0.009000,-0.082642,0.010010,1.000244,-0.571411
4.461000,0.008000,-0.083130,0.010498,1.000122,-0.599332
4.470000,0.009000,-0.083740,0.011597,0.999878,-0.662174
4.478000,0.008000,-0.082764,0.010864,1.000488,-0.620030
4.486000,0.008000,-0.081909,0.010864,1.000488,-0.620073
4.495000,0.009000,-0.082275,0.010498,0.999878,-0.599519
4.503000,0.008000,-0.082275,0.011108,1.000366,-0.634064
4.512000,0.009000,-0.082520,0.011597,1.000488,-0.661840
4.520000,0.008000,-0.083130,0.012451,1.000244,-0.710738
4.529000,0.009000,-0.083008,0.010620,1.000244,-0.606233
4.537000,0.008000,-0.083130,0.011108,1.000488,-0.633943
4.546000,0.009000,-0.083374,0.011597,1.000244,-0.661953
4.554000,0.008000,-0.082520,0.011230,1.000000,-0.641252
4.563000,0.009000,-0.082397,0.011597,1.000366,-0.661926
4.571000,0.008000,-0.082886,0.011719,1.000122,-0.669029
4.579000,0.008000,-0.082275,0.010864,1.000488,-0.620055
4.588000,0.009000,-0.082886,0.011475,1.000366,-0.654933
4.596000,0.008000,-0.083496,0.010986,0.999756,-0.627414
4.605000,0.009000,-0.083984,0.010864,1.000244,-0.620118
4.773000,0.168041,-0.081909,0.010742,1.000000,-0.613404
4.782000,0.008959,-0.083740,0.010986,0.999634,-0.627478
4.791000,0.009000,-0.082520,0.010742,0.999878,-0.613448
4.799000,0.008000,-0.082886,0.011597,1.000244,-0.661980
4.808000,0.009000,-0.082397,0.011353,1.000122,-0.648149
4.816000,0.008000,-0.083374,0.012207,1.000488,-0.696621
4.825000,0.009000,-0.081665,0.011841,1.000488,-0.675819
4.833000,0.008000,-0.083618,0.010010,1.000244,-0.571365
4.842000,0.009000,-0.083740,0.011108,1.000000,-0.634219
4.850000,0.008000,-0.083252,0.010620,1.000488,-0.606074
4.858000,0.008000,-0.081665,0.011353,1.000610,-0.647874
4.867000,0.009000,-0.083252,0.011230,1.000488,-0.640903
4.875000,0.008000,-0.082520,0.012329,1.000488,-0.703636
4.884000,0.009000,-0.082764,0.010498,1.000488,-0.599132
4.892000,0.008000,-0.083618,0.011475,1.000366,-0.654894
4.901000,0.009000,-0.083984,0.011353,1.000488,-0.647829
4.909000,0.008000,-0.083130,0.010742,1.000488,-0.613046
4.918000,0.009000,-0.082764,0.010498,1.000488,-0.599132
4.926000,0.008000,-0.082031,0.010620,1.000488,-0.606134
4.935000,0.009000,-0.082520,0.011963,1.000488,-0.682738
4.943000,0.008000,-0.082642,0.011841,0.999390,-0.676503
4.951000,0.008000,-0.082886,0.010742,1.000244,-0.613207
4.960000,0.009000,-0.083008,0.011597,0.999634,-0.662375
4.968000,0.008000,-0.082275,0.011719,1.000000,-0.669143
4.977000,0.009000,-0.083618,0.011353,1.000488,-0.647849
4.985000,0.008000,-0.082642,0.010864,1.000366,-0.620112
4.994000,0.009000,-0.083252,0.010986,1.000366,-0.627047
5.002000,0.008000,-0.083374,0.011841,1.000488,-0.675724
5.011000,0.009000,-0.082397,0.011963,1.000488,-0.682745
5.019000,0.008000,-0.083008,0.011353,1.000488,-0.647881
5.028000,0.009000,-0.083618,0.010498,1.000488,-0.599090
5.036000,0.008000,-0.082886,0.011108,1.000488,-0.633956
5.044000,0.008000,-0.083374,0.010742,1.000244,-0.613182
5.053000,0.009000,-0.082397,0.010620,1.000488,-0.606116
5.061000,0.008000,-0.083252,0.010742,1.000244,-0.613188
5.070000,0.009000,-0.082275,0.011108,0.999268,-0.634757
5.078000,0.008000,-0.082397,0.011353,1.000122,-0.648149
5.087000,0.009000,-0.082764,0.011841,1.000244,-0.675922
5.095000,0.008000,-0.082275,0.011719,1.000122,-0.669062
5.104000,0.009000,-0.081909,0.010498,1.000000,-0.599464
5.112000,0.008000,-0.082153,0.010986,1.000488,-0.627028
5.121000,0.009000,-0.083008,0.010864,1.000488,-0.620018
5.129000,0.008000,-0.083374,0.011230,1.000366,-0.640974
5.137000,0.008000,-0.083008,0.010986,1.000488,-0.626984
5.146000,0.009000,-0.082275,0.011719,1.000122,-0.669062
5.154000,0.008000,-0.082153,0.012085,1.000366,-0.689808
5.163000,0.009000,-0.081909,0.011475,1.000488,-0.654906
5.171000,0.008000,-0.083252,0.012085,0.999878,-0.690080
5.180000,0.009000,-0.082764,0.010620,1.000610,-0.606024
5.188000,0.008000,-0.083496,0.010620,1.000244,-0.606208

--- CSV DUMP END ---

