
--- CSV DUMP START ---
time_s,dt_s,ax_g,ay_g,az_g,roll_acc_deg
0.952000,0.008000,-0.083740,0.010986,1.000000,-0.627250
0.961000,0.009000,-0.083008,0.011108,0.999878,-0.634334
1.078000,0.117041,-0.083496,0.011230,1.000488,-0.640890
1.087000,0.008959,-0.082397,0.011230,1.000488,-0.640948
1.096000,0.009000,-0.082397,0.011230,1.000122,-0.641181
1.104000,0.008000,-0.081787,0.011475,1.000366,-0.654992
1.113000,0.009000,-0.081543,0.011841,1.000122,-0.676071
1.121000,0.008000,-0.083252,0.011963,1.000488,-0.682697
1.130000,0.009000,-0.083252,0.011597,1.000488,-0.661800
1.138000,0.008000,-0.083252,0.010742,1.000488,-0.613039
1.147000,0.009000,-0.083008,0.010742,1.000488,-0.613052
1.155000,0.008000,-0.082764,0.011230,1.000488,-0.640928
1.164000,0.009000,-0.083008,0.010864,1.000488,-0.620018
1.172000,0.008000,-0.082275,0.011230,1.000122,-0.641187
1.180000,0.008000,-0.082886,0.012085,0.999512,-0.690352
1.189000,0.009000,-0.084106,0.011353,1.000488,-0.647822
1.197000,0.008000,-0.083252,0.011841,1.000488,-0.675731
1.206000,0.009000,-0.082764,0.010498,1.000122,-0.599350
1.214000,0.008000,-0.082764,0.010986,1.000000,-0.627300
1.223000,0.009000,-0.081177,0.010254,1.000488,-0.585275
1.231000,0.008000,-0.083862,0.011475,1.000366,-0.654880
1.240000,0.009000,-0.082886,0.011475,1.000000,-0.655171
1.248000,0.008000,-0.082031,0.011475,1.000488,-0.654900
1.257000,0.009000,-0.083008,0.012329,1.000366,-0.703693
1.265000,0.008000,-0.083130,0.011475,1.000488,-0.654841
1.273000,0.008000,-0.083496,0.010742,1.000000,-0.613324
1.282000,0.009000,-0.083130,0.011475,1.000488,-0.654841
1.290000,0.008000,-0.083496,0.011108,1.000488,-0.633924
1.299000,0.009000,-0.082886,0.011719,1.000488,-0.668786
1.307000,0.008000,-0.083130,0.010254,0.999878,-0.585537
1.316000,0.009000,-0.083130,0.011719,0.999878,-0.669177
1.324000,0.008000,-0.082153,0.011108,1.000244,-0.634148
1.333000,0.009000,-0.083374,0.011353,1.000000,-0.648176
1.341000,0.008000,-0.082520,0.011597,0.999023,-0.662803
1.350000,0.009000,-0.082886,0.011108,1.000122,-0.634187
1.358000,0.008000,-0.083130,0.011353,1.000000,-0.648189
1.366000,0.008000,-0.083130,0.011230,0.999756,-0.641375
1.375000,0.009000,-0.083130,0.011108,1.000122,-0.634174
1.383000,0.008000,-0.082764,0.011108,1.000488,-0.633962
1.392000,0.009000,-0.083130,0.011475,0.999146,-0.655715
1.400000,0.008000,-0.082764,0.011353,1.000244,-0.648051
1.409000,0.009000,-0.082520,0.011597,1.000366,-0.661920
1.417000,0.008000,-0.083618,0.011597,1.000488,-0.661780
1.426000,0.009000,-0.083496,0.011719,1.000488,-0.668752
1.434000,0.008000,-0.082642,0.011719,0.999634,-0.669367
1.443000,0.009000,-0.082886,0.011597,0.998779,-0.662944
1.451000,0.008000,-0.082764,0.010620,1.000488,-0.606098
1.459000,0.008000,-0.082397,0.010864,1.000488,-0.620049
1.468000,0.009000,-0.082153,0.010986,1.000488,-0.627028
1.476000,0.008000,-0.082397,0.011597,0.999146,-0.662730
1.485000,0.009000,-0.082275,0.010254,1.000488,-0.585223
1.493000,0.008000,-0.082764,0.010620,1.000122,-0.606318
1.611000,0.118041,-0.082397,0.010742,0.999390,-0.613752
1.620000,0.008959,-0.082642,0.011841,0.999878,-0.676175
1.629000,0.009000,-0.084106,0.010742,1.000488,-0.612996
